Model,Base Price,Dest. Charge,Tax Credit,Effective Price
"2023 Rivian R1T P. DM AWD, Max P., AT 20-in","$97,850 ","$1,800 ",N/A,"$99,650 "
"2023 Rivian R1T P. DM AWD, Max P., 21-in","$94,000 ","$1,800 ",N/A,"$95,800 "
"2023 Rivian R1T P. DM AWD, Max P., 22-in","$96,500 ","$1,800 ",N/A,"$98,300 "
"2023 Rivian R1T QM AWD, Large Pack, AT 20-in","$90,850 ","$1,800 ",N/A,"$92,650 "
"2023 Rivian R1T QM AWD, Large Pack, 21-in","$87,000 ","$1,800 ",N/A,"$88,800 "
"2023 Rivian R1T QM AWD, Large Pack, 22-in","$89,500 ","$1,800 ",N/A,"$91,300 "
2024 Rolls-Royce Spectre 22-in,"$420,000 ","$2,750 ",N/A,"$422,750 "
2024 Subaru Solterra Premium AWD 18-in,"$44,995 ","$1,345 ",N/A,"$46,340 "
2024 Subaru Solterra Limited AWD 20-in,"$48,495 ","$1,345 ",N/A,"$49,840 "
2024 Subaru Solterra Touring AWD 20-in,"$51,995 ","$1,345 ",N/A,"$53,340 "
2025 Tesla Cybertruck RWD,"$60,990*",,N/A,"$60,990 "
2024 Tesla Cybertruck AWD 20-in,"$79,990*","$2,245 ",N/A,"$82,235 "
2024 Tesla Cybertruck AWD AT,"$79,990*","$2,245 ",N/A,"$82,235 "
2024 Tesla Cybertruck AWD (RE) 20-in,"$95,990*","$2,245 ",N/A,"$98,235 "
2024 Tesla Cybertruck AWD (FS) AT,"$99,990*","$2,245 ",N/A,"$102,235 "
"2024 Tesla Cybertruck AWD (RE, FS) AT","$115,990*","$2,245 ",N/A,"$118,235 "
2024 Tesla Cybertruck Cyberbeast 20-in,"$99,990*","$2,245 ",N/A,"$102,235 "
2024 Tesla Cybertruck Cyberbeast AT,"$99,990*","$2,245 ",N/A,"$102,235 "
2024 Tesla Cybertruck Cyberbeast (RE) 20-in,"$115,990*","$2,245 ",N/A,"$118,235 "
2024 Tesla Cybertruck Cyberbeast (FS) AT,"$119,990*","$2,245 ",N/A,"$122,235 "
"2024 Tesla Cybertruck Cyberbeast (RE, FS) AT","$135,990*","$2,245 ",N/A,"$138,235 "
2024 Tesla Model 3 RWD 18-in,"$38,990 ","$1,640 ",N/A,"$40,630 "
2024 Tesla Model 3 RWD 19-in,"$40,490 ","$1,640 ",N/A,"$42,130 "
2024 Tesla Model 3 Long Range AWD 18-in,"$46,990 ","$1,640 ",N/A,"$48,630 "
2024 Tesla Model 3 Long Range AWD 19-in,"$48,490 ","$1,640 ",N/A,"$50,130 "
2024 Tesla Model S LR AWD 19-in,"$74,990 ","$1,640 ",N/A,"$76,630 "
2024 Tesla Model S LR AWD 21-in,"$79,490 ","$1,640 ",N/A,"$81,130 "
2024 Tesla Model S Plaid 19-in,"$89,990 ","$1,640 ",N/A,"$91,630 "
2024 Tesla Model S Plaid 21-in,"$94,490 ","$1,640 ",N/A,"$96,130 "
2024 Tesla Model X LR AWD 20-in,"$79,990 ","$1,640 ","$7,500 ","$74,130 "
2024 Tesla Model X LR AWD 22-in,"$85,490 ","$1,640 ",N/A,"$87,130 "
2024 Tesla Model X LR AWD (6 seat) 20-in,"$86,490 ","$1,640 ",N/A,"$88,130 "
2024 Tesla Model X LR AWD (6 seat) 22-in,"$91,990 ","$1,640 ",N/A,"$93,630 "
2024 Tesla Model X LR AWD (7 seat) 20-in,"$83,490 ","$1,640 ",N/A,"$85,130 "
2024 Tesla Model X LR AWD (7 seat) 22-in,"$88,990 ","$1,640 ",N/A,"$90,630 "
2024 Tesla Model X Plaid (6 seat) 20-in,"$94,990 ","$1,640 ",N/A,"$96,630 "
2024 Tesla Model X Plaid (6 seat) 22-in,"$100,490 ","$1,640 ",N/A,"$102,130 "
2024 Tesla Model Y RWD 19-in,"$43,990 ","$1,640 ","$7,500 ","$38,130 "
2024 Tesla Model Y RWD 20-in,"$45,990 ","$1,640 ","$7,500 ","$40,130 "
2024 Tesla Model Y Long Range AWD 19-in,"$48,990 ","$1,640 ","$7,500 ","$43,130 "
2024 Tesla Model Y Long Range AWD 20-in,"$50,990 ","$1,640 ","$7,500 ","$45,130 "
